User_ID,Age,Gender,Country,Preferred_Category,Time_Spent_Minutes,Subscribed_Channels,Most_Watched_Genre,Frequent_Keywords,Recommendation_Algorithm,Engagement_Rate,Premium_User,Devices_Used,Advertisement_Interaction,Satisfaction_Score,Video_On_Trending
1,51,Other,Canada,Music,458,92,Fashion,Travel,Good,89.71621948276149,Yes,Laptop,Medium,9,Yes
2,64,Other,United States,Gaming,422,57,Sports,Science,Excellent,29.250769502906348,No,Smart TV,Low,7,No
3,41,Female,Germany,Entertainment,339,47,Sports,Cooking,Excellent,54.10709207986163,No,Tablet,Low,5,Yes
4,27,Male,Canada,Education,156,76,Comedy,Cooking,Poor,31.650213991029077,Yes,Smart TV,Low,4,Yes
5,55,Male,United States,Music,268,25,Technology,Cooking,Excellent,77.54957516360781,No,Laptop,High,8,Yes
6,20,Other,Germany,Music,301,44,Fashion,Travel,Excellent,93.0331433196455,No,Smart TV,High,6,Yes
7,33,Female,Canada,Education,152,15,Fashion,Cooking,Excellent,35.88286069143835,Yes,Smart TV,Low,5,Yes
8,51,Other,United States,Music,374,51,Sports,Science,Fair,80.55842491436275,Yes,Laptop,Low,7,Yes
9,31,Female,Germany,Education,99,53,Sports,DIY,Excellent,49.840754271320485,Yes,Smart TV,Medium,3,No
10,35,Female,Germany,Education,173,34,Technology,Science,Good,39.65785613115773,Yes,Laptop,Medium,9,Yes
11,23,Female,Germany,Education,490,77,Comedy,Cooking,Poor,93.84218520987699,No,Smart TV,Medium,4,No
12,23,Female,Russia,Gaming,93,8,Technology,DIY,Poor,51.040468871903144,No,Tablet,Low,4,No
13,36,Male,Germany,Music,86,77,Fashion,Cooking,Poor,46.74105002574649,No,Tablet,Medium,8,No
14,48,Female,Germany,Entertainment,526,70,Comedy,Cooking,Fair,67.2434401962343,No,Tablet,Low,6,No
15,52,Female,Canada,Gaming,494,96,Sports,Travel,Good,26.123420101828444,Yes,Tablet,High,1,Yes
16,36,Other,Russia,Education,599,21,Sports,DIY,Excellent,32.479287078831575,No,Laptop,Medium,2,Yes
17,15,Other,Germany,Music,113,7,Fashion,Cooking,Good,93.20458362386226,Yes,Smart TV,Low,9,Yes
18,34,Male,Canada,Entertainment,461,90,Technology,Cooking,Poor,67.85298454369423,No,Laptop,Low,6,Yes
19,14,Other,Canada,Education,496,79,Comedy,Travel,Excellent,82.66371477710057,No,Mobile,High,7,Yes
20,36,Female,United States,Music,348,56,Technology,DIY,Poor,27.111176193542963,Yes,Smart TV,High,9,Yes
21,56,Other,United States,Education,575,49,Technology,Cooking,Poor,54.379018992987206,Yes,Laptop,High,3,No
22,42,Male,Russia,Entertainment,487,42,Technology,Cooking,Poor,97.13962669894983,Yes,Smart TV,High,5,Yes
23,50,Other,Canada,Music,232,23,Sports,Science,Good,31.87038990282176,No,Smart TV,Medium,5,Yes
24,14,Other,Germany,Entertainment,18,52,Fashion,Science,Good,16.047647631704187,Yes,Mobile,High,10,No
25,33,Male,Germany,Education,62,79,Comedy,Science,Poor,51.088600822466404,No,Tablet,Low,7,Yes
26,45,Male,Canada,Education,86,53,Comedy,Travel,Poor,38.78210887248762,No,Smart TV,Low,2,No
27,24,Female,Russia,Entertainment,512,16,Fashion,Science,Excellent,15.957723278671354,Yes,Smart TV,Low,4,Yes
