Scheme_Name,Scheme_Category,Number_of_Beneficiaries,Benefit_Level,Ease_of_Access,Awareness_Level,Overall_Satisfaction,Feedback,Location,Age_Group,Gender,Occupation,Education_Level,Household_Income,Urban_or_Rural,Access_to_Resources,Scheme_Utility,Recommendation,Response_Date,Survey_Source
Tamil Nadu Startup and Innovation Mission,Infrastructure,960,5,4,1,5,The scheme has positively impacted education opportunities for children.,Chennai,18-30,Female,Student,Graduate,Lower-Middle,Rural,1,2,4,2023-07-05 13:08:09.016,Phone
Ennum Ezhuthum,Education,3872,1,3,1,5,"Overall satisfied, but improvements can be made in ease of access.",Chennai,Above 60,Male,Student,Graduate,Upper-Middle,Urban,2,1,1,2023-11-24 13:08:09.017,Phone
Kalaignar's Wage Protection Scheme,Employment,3192,2,4,5,1,Needs more awareness campaigns; many people are unaware of its benefits.,Salem,Above 60,Other,Unemployed,Primary School,Low,Rural,1,4,3,2022-12-24 13:08:09.017,Online
Kalaignar's Comprehensive Health Insurance Scheme,Employment,566,1,1,5,5,The scheme has significantly improved healthcare access in our area.,Tirunelveli,46-60,Other,Business,Primary School,Upper-Middle,Rural,4,4,2,2023-05-07 13:08:09.017,Online
Transgender Welfare Board,Health,4526,1,5,3,5,The scheme has significantly improved healthcare access in our area.,Salem,18-30,Male,Business,Postgraduate,Low,Rural,4,4,2,2023-10-26 13:08:09.018,In-person
Amma Unavagam Scheme,Education,3544,5,4,2,4,The scheme has significantly improved healthcare access in our area.,Salem,18-30,Other,Unemployed,Doctorate,High,Rural,1,1,1,2023-11-23 13:08:09.018,Phone
Kalaignar's Comprehensive Health Insurance Scheme,Infrastructure,3271,2,1,5,1,This initiative has boosted employment prospects for many in our community.,Salem,31-45,Other,Business,Graduate,Middle,Rural,2,1,4,2023-06-01 13:08:09.018,In-person
Uzhavar Naal Scheme,Education,3019,3,1,1,1,This initiative has boosted employment prospects for many in our community.,Tiruchirappalli,Under 18,Other,Business,High School,Lower-Middle,Rural,4,4,5,2023-04-14 13:08:09.018,Phone
Kalaignar's Wage Protection Scheme,Infrastructure,230,5,2,5,2,This initiative has boosted employment prospects for many in our community.,Coimbatore,46-60,Female,Service,Primary School,Low,Rural,4,1,3,2023-08-09 13:08:09.019,Online
Free DTH Scheme,Health,1785,3,2,1,2,This initiative has boosted employment prospects for many in our community.,Madurai,18-30,Other,Service,Primary School,Upper-Middle,Urban,1,4,3,2023-05-08 13:08:09.019,Phone
Transgender Welfare Board,Health,869,2,5,2,1,"Overall satisfied, but improvements can be made in ease of access.",Tirunelveli,Under 18,Other,Student,Primary School,Low,Rural,5,2,2,2023-05-09 13:08:09.019,In-person
Green Tamil Nadu Mission,Education,2491,1,2,3,1,The scheme has positively impacted education opportunities for children.,Coimbatore,Under 18,Female,Student,Doctorate,Lower-Middle,Rural,3,2,4,2023-05-12 13:08:09.019,Online
