Scheme_Name,Scheme_Category,Number_of_Beneficiaries,Benefit_Level,Ease_of_Access,Awareness_Level,Overall_Satisfaction,Feedback,Location,Age_Group,Gender,Occupation,Education_Level,Household_Income,Urban_or_Rural,Access_to_Resources,Scheme_Utility,Recommendation,Response_Date,Survey_Source
Wage Protection Scheme,Education,2725,3,4,1,1,Satisfied with the welfare program; could improve ease of access.,Coimbatore,31-40,Other,Professional,Postgraduate,Medium,Rural,3,2,3,2023-01-01,Online
Transgender Welfare Board,Social Welfare,2367,5,5,3,5,Satisfied with the welfare program; could improve ease of access.,Coimbatore,31-40,Male,Professional,Doctorate,Medium,Rural,2,4,5,2023-01-02,In-person
Organic Farming Mission,Education,1731,5,1,5,2,The women empowerment scheme needs more promotion in rural areas.,Trichy,51-60,Female,Professional,Postgraduate,Low,Urban,3,4,2,2023-01-03,Phone
Pensión de Viudedad,Healthcare,4655,4,3,1,4,The scheme has significantly helped in accessing healthcare facilities.,Madurai,61+,Other,Business,Postgraduate,High,Urban,1,5,5,2023-01-04,In-person
Amma Free Clinics,Healthcare,3320,2,2,5,3,The education scheme needs improvement in terms of infrastructure.,Chennai,18-30,Female,Professional,Postgraduate,Low,Urban,2,2,3,2023-01-05,Online
Uzhavar Naal Scheme,Social Welfare,2651,4,1,4,1,Good initiative but awareness needs to be increased.,Coimbatore,18-30,Other,Business,Graduate,High,Urban,1,4,3,2023-01-06,In-person
Organic Farming Mission,Agriculture,3756,1,4,3,1,Satisfied with the welfare program; could improve ease of access.,Salem,51-60,Male,Business,High School,Medium,Urban,1,5,1,2023-01-07,Online
Kalaignar Health Insurance,Social Welfare,4156,1,5,3,4,The education scheme needs improvement in terms of infrastructure.,Trichy,51-60,Female,Unemployed,Postgraduate,Medium,Urban,4,5,5,2023-01-08,In-person
Free Laptop Scheme,Social Welfare,3516,4,4,4,1,The scheme has significantly helped in accessing healthcare facilities.,Madurai,51-60,Male,Unemployed,High School,Low,Rural,1,4,4,2023-01-09,Online
Organic Farming Mission,Social Welfare,4077,5,4,4,2,Satisfied with the welfare program; could improve ease of access.,Trichy,18-30,Male,Homemaker,Graduate,Medium,Rural,5,1,4,2023-01-10,Phone
Green Tamil Nadu Mission,Social Welfare,2879,5,1,5,5,The agricultural scheme provided necessary aid in tough times.,Madurai,51-60,Female,Homemaker,Doctorate,Low,Rural,4,3,5,2023-01-11,Online
Pensión de Viudedad,Social Welfare,1381,1,1,5,2,Good initiative but awareness needs to be increased.,Coimbatore,31-40,Female,Student,Doctorate,High,Rural,2,3,5,2023-01-12,Online
Uzhavar Naal Scheme,Women Empowerment,2916,3,1,3,2,The agricultural scheme provided necessary aid in tough times.,Coimbatore,41-50,Male,Professional,Graduate,Low,Urban,4,2,2,2023-01-13,Online
Organic Farming Mission,Social Welfare,887,1,4,1,3,The agricultural scheme provided necessary aid in tough times.,Chennai,31-40,Female,Student,High School,Low,Rural,5,1,2,2023-01-14,In-person
Wage Protection Scheme,Women Empowerment,1855,1,2,1,5,Good initiative but awareness needs to be increased.,Chennai,18-30,Female,Professional,Graduate,High,Urban,5,1,2,2023-01-15,Online
Climate Resilient Agriculture Scheme,Women Empowerment,255,1,1,3,5,Good initiative but awareness needs to be increased.,Madurai,61+,Male,Business,Graduate,Medium,Urban,1,5,2,2023-01-16,Online
Wage Protection Scheme,Social Welfare,1650,4,5,4,1,Satisfied with the welfare program; could improve ease of access.,Chennai,18-30,Other,Unemployed,Doctorate,Low,Urban,2,5,2,2023-01-17,In-person
Pensión de Viudedad,Social Welfare,2857,3,1,4,5,The agricultural scheme provided necessary aid in tough times.,Coimbatore,51-60,Female,Professional,Graduate,Medium,Urban,3,4,5,2023-01-18,Phone
Wage Protection Scheme,Education,3521,4,5,1,3,Satisfied with the welfare program; could improve ease of access.,Salem,18-30,Female,Student,Postgraduate,Low,Urban,5,1,5,2023-01-19,Phone
Organic Farming Mission,Education,1273,4,1,5,1,The education scheme needs improvement in terms of infrastructure.,Coimbatore,18-30,Female,Professional,High School,Low,Rural,5,4,4,2023-01-20,In-person
Wage Protection Scheme,Healthcare,2842,4,1,2,1,Good initiative but awareness needs to be increased.,Salem,61+,Male,Professional,Graduate,Medium,Urban,3,1,5,2023-01-21,Online
Pensión de Viudedad,Social Welfare,2884,1,3,4,1,Good initiative but awareness needs to be increased.,Coimbatore,18-30,Other,Professional,High School,Medium,Urban,2,4,4,2023-01-22,Online
Wage Protection Scheme,Healthcare,2839,3,2,5,5,The agricultural scheme provided necessary aid in tough times.,Chennai,41-50,Female,Unemployed,Graduate,Medium,Urban,2,3,3,2023-01-23,Online
Ennum Ezhuthum,Women Empowerment,772,2,4,1,5,The scheme has significantly helped in accessing healthcare facilities.,Trichy,51-60,Other,Unemployed,Postgraduate,Medium,Rural,4,1,5,2023-01-24,Phone
Organic Farming Mission,Education,60,3,5,1,3,The agricultural scheme provided necessary aid in tough times.,Salem,41-50,Female,Student,Graduate,High,Rural,5,2,4,2023-01-25,Phone
Ennum Ezhuthum,Agriculture,3103,3,2,5,5,The agricultural scheme provided necessary aid in tough times.,Madurai,51-60,Female,Professional,Graduate,Medium,Urban,4,4,1,2023-01-26,Phone
Free Laptop Scheme,Healthcare,665,4,3,5,1,Satisfied with the welfare program; could improve ease of access.,Coimbatore,18-30,Female,Business,Postgraduate,Low,Urban,3,5,5,2023-01-27,Online
Free Laptop Scheme,Healthcare,160,3,3,5,2,Good initiative but awareness needs to be increased.,Chennai,18-30,Male,Homemaker,Postgraduate,Medium,Rural,3,5,5,2023-01-28,In-person
