Scheme_Name,Scheme_Category,Number_of_Beneficiaries,Benefit_Level,Ease_of_Access,Awareness_Level,Overall_Satisfaction,Feedback,Location,Age_Group,Gender,Occupation,Education_Level,Household_Income,Urban_or_Rural,Access_to_Resources,Scheme_Utility,Recommendation,Response_Date,Survey_Source
Midday Meal Scheme,Infrastructure,960,5,4,1,5,This initiative has boosted employment prospects for many in our community.,Chennai,Under 18,Female,Service,Primary School,Low,Urban,1,2,4,2023-03-05 12:09:14.578,Online
Chief Minister's Comprehensive Health Insurance Scheme,Health,3872,1,3,1,5,The scheme has positively impacted education opportunities for children.,Coimbatore,Above 60,Female,Unemployed,Primary School,Middle,Urban,2,1,1,2022-12-30 12:09:14.578,Online
Midday Meal Scheme,Employment,3192,2,4,5,1,This initiative has boosted employment prospects for many in our community.,Salem,18-30,Female,Business,Primary School,High,Rural,1,4,3,2023-06-21 12:09:14.578,Phone
Midday Meal Scheme,Employment,566,1,1,5,5,The scheme has positively impacted education opportunities for children.,Coimbatore,Above 60,Other,Homemaker,Doctorate,Middle,Urban,4,4,2,2023-09-01 12:09:14.578,Phone
Midday Meal Scheme,Health,4526,1,5,3,5,"Overall satisfied, but improvements can be made in ease of access.",Tirunelveli,Above 60,Female,Business,Doctorate,Middle,Rural,4,4,2,2023-07-10 12:09:14.578,Phone
Midday Meal Scheme,Employment,3544,5,4,2,4,Needs more awareness campaigns; many people are unaware of its benefits.,Salem,Above 60,Female,Service,Graduate,Middle,Rural,1,1,1,2023-11-30 12:09:14.578,Online
Midday Meal Scheme,Infrastructure,3271,2,1,5,1,The scheme has positively impacted education opportunities for children.,Coimbatore,Above 60,Female,Unemployed,High School,Upper-Middle,Rural,2,1,4,2023-04-16 12:09:14.578,In-person
Midday Meal Scheme,Education,3019,3,1,1,1,This initiative has boosted employment prospects for many in our community.,Chennai,Above 60,Male,Service,Doctorate,High,Urban,4,4,5,2023-04-29 12:09:14.578,Online
Chief Minister's Comprehensive Health Insurance Scheme,Employment,230,5,2,5,2,The scheme has positively impacted education opportunities for children.,Tiruchirappalli,46-60,Male,Business,Graduate,Middle,Urban,4,1,3,2023-05-09 12:09:14.578,In-person
Chief Minister's Comprehensive Health Insurance Scheme,Education,1785,3,2,1,2,The scheme has positively impacted education opportunities for children.,Tiruchirappalli,Above 60,Male,Unemployed,High School,Middle,Rural,1,4,3,2023-03-06 12:09:14.578,Online
Midday Meal Scheme,Education,869,2,5,2,1,Needs more awareness campaigns; many people are unaware of its benefits.,Tiruchirappalli,18-30,Male,Service,Postgraduate,High,Urban,5,2,2,2023-10-23 12:09:14.578,Phone
Midday Meal Scheme,Employment,2491,1,2,3,1,The scheme has positively impacted education opportunities for children.,Salem,Under 18,Female,Student,Postgraduate,Lower-Middle,Urban,3,2,4,2023-07-23 12:09:14.578,In-person
Midday Meal Scheme,Education,2533,4,5,4,2,The scheme has positively impacted education opportunities for children.,Coimbatore,18-30,Male,Service,Graduate,High,Rural,4,2,5,2023-08-08 12:09:14.578,Online
Chief Minister's Comprehensive Health Insurance Scheme,Infrastructure,1284,4,3,4,4,This initiative has boosted employment prospects for many in our community.,Salem,46-60,Male,Homemaker,Doctorate,Lower-Middle,Rural,2,3,2,2023-10-04 12:09:14.578,Online
Midday Meal Scheme,Health,4655,2,3,1,4,The scheme has positively impacted education opportunities for children.,Chennai,31-45,Male,Homemaker,Graduate,High,Urban,5,3,4,2023-06-02 12:09:14.578,Phone
Midday Meal Scheme,Health,3485,4,2,5,4,"Overall satisfied, but improvements can be made in ease of access.",Coimbatore,Under 18,Other,Homemaker,Primary School,Upper-Middle,Rural,1,5,5,2023-08-29 12:09:14.578,In-person
